"Var1","SAFE179","SAFE198","SAFE185","SAFE8","SAFE2","SAFE9","SAFE7","SAFE14","SAFE75","SAFE37","SAFE11","SAFE31","SAFE25","SAFE18","SAFE70","SAFE187","SAFE186","SAFE26","SAFE12","SAFE126","SAFE135","SAFE35","SAFE19","SAFE27","SAFE196","SAFE6","SAFE16","SAFE194","SAFE22","SAFE33","SAFE28","SAFE200","SAFE40","SAFE98","SAFE29","SAFE23","SAFE59","SAFE142","SAFE144","SAFE10","SAFE191","SAFE124","SAFE42","SAFE44","SAFE145","SAFE20","SAFE60","SAFE46","SAFE130","SAFE110","SAFE204","SAFE195","SAFE4","SAFE38","SAFE53","SAFE41","SAFE58","SAFE15","SAFE49","SAFE65","SAFE146","SAFE21","SAFE74","SAFE82","SAFE1","SAFE32","SAFE69","SAFE13","SAFE199","SAFE47","SAFE3","SAFE61","SAFE24","SAFE106","SAFE52","SAFE68","SAFE193","SAFE71","SAFE100","SAFE101","SAFE102","SAFE103","SAFE104","SAFE105","SAFE107","SAFE108","SAFE109","SAFE111","SAFE112","SAFE113","SAFE114","SAFE115","SAFE116","SAFE117","SAFE118","SAFE119","SAFE120","SAFE121","SAFE122","SAFE123","SAFE125","SAFE127","SAFE128","SAFE129","SAFE131","SAFE132","SAFE133","SAFE134","SAFE136","SAFE137","SAFE138","SAFE139","SAFE140","SAFE141","SAFE143","SAFE147","SAFE148","SAFE149","SAFE150","SAFE151","SAFE152","SAFE153","SAFE154","SAFE155","SAFE156","SAFE157","SAFE158","SAFE159","SAFE160","SAFE161","SAFE162","SAFE163","SAFE164","SAFE165","SAFE166","SAFE167","SAFE168","SAFE169","SAFE17","SAFE170","SAFE171","SAFE172","SAFE173","SAFE174","SAFE175","SAFE176","SAFE177","SAFE178","SAFE180","SAFE181","SAFE182","SAFE183","SAFE184","SAFE188","SAFE189","SAFE190","SAFE192","SAFE197","SAFE201","SAFE202","SAFE203","SAFE205","SAFE30","SAFE34","SAFE36","SAFE39","SAFE43","SAFE45","SAFE48","SAFE5","SAFE50","SAFE51","SAFE54","SAFE55","SAFE56","SAFE57","SAFE62","SAFE63","SAFE64","SAFE66","SAFE67","SAFE72","SAFE73","SAFE76","SAFE77","SAFE78","SAFE79","SAFE80","SAFE81","SAFE83","SAFE84","SAFE85","SAFE86","SAFE87","SAFE88","SAFE89","SAFE90","SAFE91","SAFE92","SAFE93","SAFE94","SAFE95","SAFE96","SAFE97","SAFE99"
"H8",-28.876317830427,17.048866169573,-56.251737,0.38,-5.174,0,0.013,0,19.048243,76.723311,0.09,0,0.159,0.146,0,6.73580844,56.011737,0,-0.352051,-0.940328221,0,0.76,0.026,0,-440.611106295317,24,0,11.089419169573,0.355243,-0.133,0.013,27.255419169573,0.28,24.013,0.09,0,-2.647,21.473,0.013,-2.514,27.255419169573,76.368068,0.013,0.00156,0.312,0,0.133,0,56.842223,0,-27.255419169573,43.421419169573,-2.304757,0.146,0,0.093,2.645,0,0,0,0,2.804,0.09,0,27.255419169573,-16.166,-0.107,0.355243,278.183880291463,576.734,-56.131737,-2.78,63.84,0,0,10.206553,0,76.741,0,0.013,0.133,0,0,0.09,0,0,0,0,0.47,0,0,0,0,3.015243,0.94494638,2.171757,0.897699061,-18.337757,6.640557399,77.078554,-2.291757,0.146,-6.68724,21.22,-20.06660423614,0.355243,0,0.013,0.09,0.133,577.133,0,18.693,0.034554,0,576.867,-2.647,0.013,0,0.133,0.013,0,26.66,0.03458,0,0,0,0,0.133,0,-21.207,2.83822,577,0.35378,-2.538,18.56,79.401,-74.081,2.66,76.874,76.608,0.001729,0.12,-0.107,0.003458,27.268419169573,27.242419169573,0.354320449204449,83.387156169573,-1529.89402065123,24.608419169573,29.902419169573,-72.1450945418597,27.135419169573,27.375419169573,-3.27065030034876,27.255419169573,37.461972169573,27.255419169573,0,27.255419169573,0,-0.12,0.355243,2.793,2.671,0,0.013,2.673,47.237211,0,18.826,0.001729,2.882243,2.527,0.38,0,-56.48698,3.002243,0.355243,0.12,2.486169,204.13106,0,0.133,0,2.671,0,21.34,23.987,0,2.647,577,0,0,2.671,0,2.66,23.987,0,0,2.66,2.658,0.013,0.013
"I8",1.907761404036,0.487405404036,1.026084,0,0.222,0,0.111,0,7.360084,3.539679,0,0,0.111,0.222,0,0,-1.026084,0,0.012321,0.027648324,0,2,0,2,-6.36747421194799,7,0.14763,-6.340322595964,0.249084,6.549,-1.219,0.881677404036,0.66,7.111,0,0,0.111,7.111,1.441,0.222,0.881677404036,3.290595,0.111,0,0.777,0,6.771,0,-0.527916,0,1.778322595964,8.103677404036,0.249084,1.552,2.66,0,2.022,0,0,0.73926,0,2.355,1.33,0,0.881677404036,-7.222,0.111,0.249084,0.347620713444082,31.778,1.026084,0,0,0,0,0.394272,0,3.552,1.33,0.111,0.111,0,0,0,0.66,0,0,0,0,0,0,0,0,0.249084,0,-0.360084,-0.027648324,-6.861916,1.771236324,3.788763,0.360084,0.222,0,7,0.193538268,0.249084,0,0.111,0,0.111,32.111,0,7.111,0.236763,6.66,31.889,0.111,1.441,0,0.111,0.111,0,7,0,0,0,0,0,0.111,0,-6.889,0.777,32,0,-2.133,7,3.552,-3.552,0,3.663,3.441,0.012321,0,-0.111,0,0.992677404036,0.770677404036,0.097866191847996,-0.144406595964,0.904675077442875,0.992677404036,0.770677404036,0.097866191847996,0.881677404036,0.881677404036,0,0.881677404036,1.275949404036,0.881677404036,0,3.541677404036,2.34526189473576,0,0.249084,0.111,2.244,0,1.441,0.111,-0.789321,3.33,7.222,0.159951,0.138084,-0.111,0,0,0.777,0.138084,0.249084,-1.33,0.789321,0,0,0.111,0,2.244,0,7,6.889,0,-0.111,32,0,0,2.244,0,0,6.889,0,0,0,2.133,0.111,0.111
"J8",140.104952651776,92.044408651776,3.168256,0,0.56,0,0.112,0.33,20.488256,99.255296,0,0,0.728,0.56,0,-1.177430016,-3.840256,0.33,0.050176,0.154140672,0,0.67,0.28,0,-2671.90962650874,19,0,117.040696651776,1.376256,-0.448,0.112,136.600696651776,0,19.112,0,0,0.112,19.448,0.112,0.56,136.930696651776,97.87904,0.112,0.037632,2.128,0,0.448,0,-0.751744,0,-136.600696651776,156.160696651776,1.376256,0.56,0,0.28,2.848,0,0,0,0.33,3.52,0,0,136.600696651776,-19.56,-0.224,1.376256,6086.41998101717,221.104,3.504256,-0.336,0,0,0,44.556288,45.0782298950861,99.456,0,0.112,0.448,0,0,0,0,0,0,0,0,0,0,0,0,1.376256,0,-1.824256,-0.616562688,-17.735744,26.303004672,100.631552,1.488256,0.56,0,18.664,2.928672768,1.376256,0,0.112,0,0.448,222.448,0,19.112,0.33152,0,221.552,0.112,0.112,0,0.448,0.112,0,19,0,0,0,0,0,0.448,0,-18.552,8.512,222,0,-2.624,18.664,99.456,-99.456,0,99.904,99.008,0.050176,0.336,-0.168,0.12544,136.712696651776,136.488696651776,15.2992780249989,133.096440651776,478.683810846166,136.712696651776,136.488696651776,15.2992780249989,136.264696651776,136.936696651776,-45.8978340749967,136.270696651776,181.156984651776,136.600696651776,0,136.600696651776,0,-0.336,1.376256,0.448,3.072,0,0.112,0.112,-8.562176,1.68,19.56,0.050176,0.928256,-0.448,0,0,2.128,1.264256,1.376256,0.336,8.562176,0,0,0.448,0,3.072,0,19,18.888,0,-0.112,222,0,0,3.072,0,0,18.888,0.33,0,0,2.96,0.112,0.112
"K8",708.351318442719,475.917228442719,62.366409,0,8.694,0,4.347,0,43.284409,20.226591,0,0,4.347,8.694,0,0,-62.366409,0,18.896409,138.831916923,0,0,0,0,-10138.087168794,7,0,630.290909442719,31.937409,-4.347,4.347,645.984909442719,0,11.347,0,0,4.347,11.347,4.347,8.694,645.984909442719,-11.710818,4.347,0,30.429,0,4.347,0,1.508409,0,-645.984909442719,661.678909442719,31.937409,8.694,0,0,-1.347,0,0,0,0,11.694,0,0,645.984909442719,-15.694,4.347,31.937409,109861.155509918,0.306000000000001,62.366409,0,0,0,0,170.067681,0,39.123,0,4.347,4.347,0,0,0,0,0,0,0,0,0,0,0,0,31.937409,0,-36.284409,-138.831916923,20.590409,362.393779923,52.164,36.284409,8.694,0,7,971.823418461,31.937409,0,4.347,0,4.347,13.347,0,11.347,13.041,0,4.653,4.347,4.347,0,4.347,4.347,0,7,0,0,0,0,0,4.347,0,-2.653,30.429,9,0,-3,7,39.123,-39.123,0,43.47,34.776,18.896409,0,-4.347,0,650.331909442719,641.637909442719,2808.0964013475,583.618500442719,40287.7590701326,650.331909442719,641.637909442719,2808.0964013475,645.984909442719,645.984909442719,0,645.984909442719,816.052590442719,645.984909442719,0,645.984909442719,0,0,31.937409,4.347,7.347,0,4.347,4.347,-49.325409,7.14,15.694,18.896409,27.590409,-4.347,0,0,30.429,27.590409,31.937409,0,49.325409,0,0,4.347,0,7.347,0,7,2.653,0,-4.347,9,0,0,7.347,0,0,2.653,0,0,0,3,4.347,4.347
"L8",-16.2864,0,-17.2164,0,-3.12,0,-0.93,0,8.88,0,0,0.93,0.078,-0.93,0,15.146352,15.3564,0.31,0,0,0,0,0.078,0,0,12,0,-7.32,0,0.15,-0.31,0,0,12,0.31,0,-1.56,10.44,0.31,-1.56,0.31,0,0.93,0,0,0,0.15,0,16.2864,0.15,0,7.32,-1.56,0.31,0,0.235,1.945,0.15,0,0,0,1.945,0,0,0,-7.32,0,0,0,323,-16.2864,-1.56,18.72,0.15,0,0,0,0,0.31,0,0,0.15,0.31,0,0,0.15,0.15,0,0.15,0,0.31,0,0.052,1.56,0,1.56,0,-8.88,0,0,-1.56,0,-2.4336,10.44,0,-0.93,0,0,0,0,323,0,8.88,0,0.15,323,-1.56,0.31,0.15,0,0,0,13.56,0,0,0,0,0,0,0,-10.44,0,323,0,-1.945,8.88,1.56,1.56,1.56,0,0,0,0,0.078,0,-0.93,0.93,0,16.2864,0,-1.56,1.56,0,-0.93,0.93,0,-0.31,0,0,0,0,0,-0.93,0.93,1.56,1.945,0,0.31,1.56,13.8528,0.62,8.88,0,1.56,1.56,0.46,0.15,-16.2864,1.56,0,-0.31,0,0,0,0,0,1.945,0,10.44,12,0,1.56,323,0,0,1.945,0,1.56,12,0.15,0.31,1.56,1.945,0,0
"M8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,3,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0
"N8",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.888,0,0,0,0,1.888,0,0,0,-5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,5,0,0,0,0,0,0,17,0,5,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-5,0,17,0,-1.888,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.888,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.888,0,5,5,0,0,17,0,0,1.888,0,0,5,0,0,0,1.888,0,0
"O8",0,0,-6.25,0,0,0,-6.25,0,3,0,0,6.25,0,-6.25,0,0,-6.25,6.25,0,0,0,0,0,0,0,3,0,-3,0,0,0,0,0,3,0,0,0,3,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,3,0,0,0,0,1.285,0,0,0,0,1.285,0,0,0,-3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,3,0,-6.25,0,0,0,0,9,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-3,0,9,0,-1.285,3,0,0,0,0,0,0,0,0,0,-6.25,6.25,0,0,0,0,0,0,-6.25,6.25,0,-6.25,0,0,0,0,0,-6.25,6.25,0,1.285,0,0,0,0,6.25,3,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,1.285,0,3,3,0,0,9,0,0,1.285,0,0,3,0,0,0,1.285,0,0
"P8",1674.230806572,1610.066186572,24.55102,0.58,2.31,0.87,0.14,0,145.10102,276.5986,0,0,1.01,1.15,0,-22.1162874,-26.29102,0,0.4343,0.8345428,0,0.87,0,0.29,-232515.156102383,139,0.406,1507.789786572,5.96102,-0.72,-2.76,1649.679786572,0.29,139.14,0,0,0.14,139.14,2.17,1.44,1648.809786572,270.63758,0.14,0,19.46,0,1.3,0,-13.49898,0,-1648.809786572,1789.829786572,6.83102,3.18,0,0.046,4.752,0,0.58,0.2929,0,6.912,0,0,1648.809786572,-141.02,0.14,5.96102,63880.8268470309,272.85,25.42102,-0.58,0,0.29,2.61,38.7436,0,38.36,2.9,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,5.09102,-5.1860874,-7.84102,-11.2067176,-133.17898,829.4163228,282.55962,6.10102,0.57,-1.2528,137.26,116.0014492,5.96102,0,-0.44,0.29,-0.73,274.14,0.0406,139.14,0.68488,0.29,273.86,0.43,3.04,0,1.01,-0.15,0.0406,139,0,0.0812,0.29,0.1682,0,-0.15,2.6448,-138.86,19.46,274.87,-0.8787,-4.892,138.13,37.49,-39.23,-0.87,39.37,37.35,0.1414,0,-1.01,0,1648.949786572,1648.669786572,230.83337012008,1623.388766572,41914.4265606425,1648.949786572,1648.669786572,230.83337012008,1647.939786572,1649.679786572,-1434.46451431764,1648.809786572,1687.553386572,1647.939786572,1434.46451431764,1648.809786572,0,-0.87,5.96102,0.14,5.902,0.58,3.91,0.14,-261.5832,2.61,140.15,0.4256,4.08102,-1.88,0,0,19.46,5.82102,5.96102,-2.9,140.5314,-33.3732,0.0406,0.43,0.1218,5.032,0.29,139,138.86,0.87,0.15,274,0,0.14,4.162,4.37784,0.87,138.86,0,0,0,4.892,0.43,0.72
"Q8",8842.73596260575,7720.26112760575,95.37031,0.26,2.334,1.13,0.709,0,133.23131,1341.070825,0,0,1.251,1.904,0.5217848,-46.58616666,-96.34231,0,0.847255,4.62431779,0,1.22,0.056,0.78,-1122522.05333751,126,1.66615,8618.54565260575,6.60231,0.715,-1.641,8748.00965260575,0.17,126.709,0,0.08,0.709,126.765,2.629,1.904,8746.87965260575,1334.548515,0.709,0.039704,89.334,0,3.105,0,-82.81169,0.08,-8746.61965260575,8875.21365260575,6.95231,3.824,0.26,0.241,3.61,0,0.08,2.28245,4.09,6.653,0.43,0.34,8746.87965260575,-128.334,0.653,6.44231,8979708.68731063,1121.04,95.85631,-0.486,0,0.43,0,1026.618525,0,859.095,2.35,0.709,0.765,0,0,0.43,0.78,0,0,0,0.08,0,0,0,0.042,6.09231,-2.8045933,-8.14731,-10.59875375,-120.18669,826.43537779,1347.593135,7.23131,1.474,-0.81872,125.084,582.66404154,6.52231,0,0.279,0.26,0.335,1123.765,0,126.709,3.062171,1.91,1122.235,0.709,3.059,0,1.195,0.709,0,126,0,0.30487,0.43,0,0,0.765,1.31537,-125.235,96.39,1123.43,-0.51385,-4.263,125.514,858.665,-859.525,-0.43,860.29,857.9,0.847255,0.056,-1.139,0.06692,8747.58865260575,8746.17065260575,6201.53767369748,8651.02334260575,838443.607512869,8747.58865260575,8746.17065260575,6201.53767369748,8746.39365260575,8747.36565260575,-4250.9835111664,8746.87965260575,9773.49817760575,8745.74965260575,9883.9740074445,8747.13965260575,2274.1887096775,-0.486,6.52231,0.765,5.458,0.43,3.489,0.709,-205.902125,2.35,127.904,2.340135,4.89731,-1.625,0,0,89.334,5.81331,6.52231,-2.294,151.417255,-369.41085,0,0.765,0.32895,5.028,0,126,125.291,0.43,-0.709,1123,0,0,4.598,2.16204,0.43,125.291,0,0,0,4.319,0.709,1.139
"R8",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,4,0,-4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.75,0,0,0,0,1.75,0,0,0,-4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,4,0,0,0,0,0,0,14,0,4,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-4,0,14,0,-1.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,4,4,0,0,14,0,0,1.75,0,0,4,0,0,0,1.75,0,0
"S8",0,0,-0.37,0,0,0,-0.37,0,5,0,0,0.37,0,-0.37,0,0,-0.37,0,0,0,0,0.75,0,0,0,5,0,-5,0,0,-0.75,0,0,5,0,0,0,5,0.75,0,0,0,0.37,0,0,0,0,0,0,0,0,5,0,0.75,0,0.066,1.433,0,0,0,0.37,1.433,0,0,0,-5,0,0,0,86,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,5,0,-0.37,0,0,0,0,86,0,5,0,0,86,0,0.75,0,0,0,0,5,0,0,0,0,0,0,0,-5,0,86,0,-1.433,5,0,0,0,0,0,0,0,0,0,-0.37,0.37,0,0,0,0,0,0,-0.37,0.37,0,0,0,0,0,0,0,-0.37,0.37,0,1.433,0,0.75,0,0,2.63,5,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,1.433,0,5,5,0,0,86,0,0,1.433,0,0,5,0,0,0,1.433,0,0
"T8",39930.0814977425,38036.9749687425,80.078537,0,5.176,0.98,0.765,0,100.589537,1672.566269,0,0,2.651,3.416,0,-154.585116782,-83.850537,0,2.531705,18.225770805,0,0.98,0,0,-3227139.60018269,76,1.0557,39767.1309607425,23.824537,-2.651,-0.615,39849.0969607425,0.19,76.765,0,0,0.765,77.081,0.575,3.606,39848.1169607425,1648.741732,0.765,0.24174,58.14,0,2.651,0.19,-34.315463,0,-39847.7269607425,39929.1029607424,25.394537,3.226,0.39,0.237,5.887,0,0,0,0.39,11.638,0,1.38,39848.1169607425,-80.986,0.449,23.824537,72170597.9297281,628.268,81.964537,-1.696,0,0.59,0.39,1811.141992,0,683.192,1.38,0.765,1.081,0,0,1.18,0,0,0,0,0,0,0,0,0,22.254537,-37.40452309,-28.045537,-100.563370677,-52.940463,1828.890582805,1696.390806,24.589537,2.036,-5.66142,72.544,1385.15858118,23.824537,0,-0.615,0.98,-0.489,633.081,0.14535,76.765,5.08878,0,630.919,0.955,2.145,0,2.651,0.575,0.14535,76,0,1.0557,1.19,0.2622,0,0.891,3.36765,-74.919,82.156,633.57,-4.16207,-6.336,74.114,681.622,-684.762,-1.57,685.843,680.541,2.028015,0.316,-2.651,0,39848.8819607425,39847.3519607425,30483.809474968,39766.1524237425,3266132.4570091,39848.8819607425,39847.3519607425,30483.809474968,39846.2309607425,39850.0029607425,-75153.5485879602,39848.1169607425,41659.2589527424,39847.1369607424,39051.1546215276,39848.5069607425,15540.7656146896,-1.886,23.824537,1.081,8.987,1.38,3.715,0.765,-324.025065,2.56,79.416,2.318745,19.603537,-4.221,0,0,58.14,23.059537,23.824537,-1.064,203.504015,-1072.61144,0.20539,1.271,1.69717,7.417,0.19,76,75.235,1.57,-0.575,632,0,0.026,5.847,11.64469,1.57,75.235,0,0,0,6.652,0.955,2.145
"U8",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,3,0,-3,0,0,0,0,0,3,0,0,0,3,0,0,3.33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.142,0,0,0,0,1.142,0,0,0,-3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,-3,0,0,0,0,0,3,0,0,0,0,0,0,16,0,3,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-3,0,16,0,-1.142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33,0,0,0,0,0,0,0,0,1.142,0,0,0,0,3.33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142,0,3,3,0,0,16,0,0,1.142,0,0,3,0,0,0,1.142,0,0
"V8",14826.5146444987,12749.4712064987,139.099593,0.06,2.971,0.4,1.06,0,133.250593,1598.040959,0,0,1.531,2.591,4.87101429,-65.737749303,-140.041593,0,1.71472,9.74202858,0,1.07,0,0.13,-1849247.81246825,123,0.9964,14561.0330514987,9.720593,-1.531,0.12,14687.3440514987,0.33,124.06,0,0.53,1.06,124.211,1.68,2.651,14686.9440514987,1588.850366,1.06,0.16006,130.38,0,1.531,0,-121.189407,0,-14686.5440514987,14812.8550514987,9.510593,3.211,0.4,0.088,3.563,0,0.33,0,1.14,7.534,1,0,14686.9440514987,-125.911,0.909,8.660593,28455555.275813,1042.258,139.570593,-0.411,0,0.26,0,1937.472845,0,1265.495,0.94,1.06,1.211,0,0,0.4,0.26,0,0,0,0,0,0,0,0,8.870593,-2.94098976,-11.041593,-17.011787643,-114.869407,1140.18496758,1607.231552,10.250593,2.331,-0.84832,122.209,1198.26951534,9.190593,0,0.8,0.2,0.891,1046.211,0.0636,124.06,4.90038,0,1043.789,1.12,2,0,1.531,1,0.0636,123,0,0.2756,0.2,0.0156,0,1.151,0.64,-121.789,148.953,1045.32,-0.48992,-4.472,122.529,1265.175,-1265.815,-0.32,1267.026,1263.964,1.62286,0.151,-1.531,0,14688.0040514987,14685.8840514987,15568.1606945886,14547.3734584987,2049865.49062549,14688.0040514987,14685.8840514987,15568.1606945886,14686.4730514987,14687.4150514987,-6917.55064825588,14686.9440514987,16624.4168964987,14686.5440514987,5874.77762059948,14687.3440514987,5874.77762059948,-0.471,9.190593,1.211,6.003,0.26,2.32,1.06,-229.63506,4.1,125.591,2.422,7.339593,-1.851,0,0,130.38,8.130593,9.190593,-0.789,189.93586,-404.9584,0.07266,1.271,0.38752,5.683,0.06,123,121.94,0.32,-1,1045,0,0.05,5.363,1.81856,0.32,121.94,0,0,0,4.623,1.12,1.32
"W8",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,11,0,-11,0,0,0,0,1.88,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0.206,2.45,0,0,0,0,2.45,0,0,0,-11,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,11,0,0,0,0,0,0,49,0,11,0,0,49,0,0,0,0,0,0,11,0,0,0,0,0,0,0,-11,0,49,0,-2.45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,11,11,0,0,49,0,0,2.45,0,0,11,0,0,0,2.45,0,0
"X8",546.403148660992,491.791164660992,4.884272,0.34,2.348,1.03,0.056,0,55.848272,193.621136,0,0,0.932,0.988,0,-5.045998272,-6.636272,0,0.685952,0.156367232,0,0.17,0,0.68,-29555.8647813031,53,0.07672,485.974876660992,2.792272,-0.762,-1.314,541.672876660992,0,53.056,0,0,0.056,53.252,0.746,1.668,540.642876660992,190.828864,0.056,0.010976,2.968,0,1.102,0,-0.175727999999999,0,-540.472876660992,595.310876660992,3.472272,1.678,0.17,0.084,2.204,0,0,0.15844,0.17,3.928,0.17,0,540.642876660992,-54.668,-0.14,2.792272,26411.3301054943,206.816,5.760272,-0.196,0,1.03,0,48.851712,0,52.416,1.37,0.056,0.252,0,0,0,0.34,0,0,0,0.17,0,0,0,0,2.112272,-1.89874496,-4.404272,-4.501142464,-50.263728,148.146783232,196.413408,2.848272,0.988,-1.13424,51.444,8.287463296,2.792272,0,0.056,0.17,-0.428,208.252,0.03808,53.056,0.12656,0.17,207.748,0.736,1.426,0,0.932,-0.624,0.03808,53,0,0,-0.68,0,0,-0.428,0.96968,-52.748,13.356,208.68,-0.63376,-2.064,52.124,51.736,-53.096,-0.68,53.348,51.484,0.052192,0.196,-0.932,0,540.698876660992,540.586876660992,30.2760010930155,534.882604660992,3114.25002442977,540.698876660992,540.586876660992,30.2760010930155,539.766876660992,541.518876660992,-473.603159955029,540.642876660992,589.494588660992,539.612876660992,556.862162960822,540.812876660992,91.9092890323686,-0.876,2.792272,0.252,2.996,0,2.106,0.056,-85.526272,3.44,53.988,0.359352,1.180272,-1.612,0,0,2.968,2.736272,2.792272,-1.174,49.448192,-35.64288,0.17136,0.932,0.17136,2.316,0.68,53,52.944,0.68,0.624,208,0,0,1.636,1.57488,0.68,52.944,0,0,0,2.26,0.736,0.056
"Y8",0,0,-1.16,0,0,0,-1.16,0,2,0,0,1.16,0.196,-1.16,0,0,-1.16,1.16,0,0,0,0,0.196,0,0,2,0,-2,0,0,0,0,0,2,0,0,0,2,0,0,1.16,0,1.16,0,0,0,0,0,0,0,1.16,2,0,0,1.16,0.393,1.058,0,0,0,0,1.058,0,0,0,-2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,-1.16,0,0,0,0,18,0,2,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-2,0,18,0,-1.058,2,0,0,0,0,0,0,0,0.196,0,-1.16,1.16,0,0,0,0,0,0,-1.16,1.16,0,-1.16,0,0,0,1.16,0,-1.16,1.16,0,1.058,0,0,0,0,1.16,2,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,1.058,0,2,2,0,0,18,0,0,1.058,0,0,2,0,0,0,1.058,0,0
"Z8",0.1221,0,0.1221,0,-2.22,0,0,0,-1.22,0,0,0,0,0,0,0,-0.1221,0,0,0,0,3.33,0,2.22,0,1,0,2.33,0,0,-1.11,0,0,1,0,0,-1.11,-0.11,1.11,-1.11,0,0,0,0,0,0,0,0,-0.1221,0,0,-2.33,-1.11,1.11,0,0,1,0,0,0,0,1,0,0,0,2.33,0,0,0,22,0.1221,-1.11,1.11,0,0,0,0,0,1.11,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,1.11,0,1.11,0,1.22,0,0,-1.11,0,-1.2321,-0.11,0,0,0,0,0,0,22,0,-1.22,0,0,22,-1.11,1.11,1.11,0,0,0,2.11,0,0,0,0,0,0,0,0.11,0,22,0,-1,-1.22,1.11,1.11,1.11,0,0,0,0,0,0,0,0,0,-0.1221,0,-1.11,1.11,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1,0,1.11,1.11,-1.3542,1.11,-1.22,0,1.11,1.11,0,0,0.1221,1.11,0,-1.11,0,0,0,0,0,1,0,-0.11,1,0,1.11,22,0,0,1,0,1.11,1,0,0,1.11,1,0,0
