V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Label
26,9,0,2,0,31.54,1,1,0,30,4,3.5,3,248,1,0,1
43,4,1,3,0,51.72,1,0,2,29,8,0.57,3,-1,0,3,1
35,2,1,2,0,3.55,1,0,0,6,8,1.83,2,355,1,0,1
59,5,1,1,0,14.49,1,1,0,23,5,4.37,2,-1,0,3,1
36,1,1,1,0,1.06,1,0,1,9,3,0.51,5,-1,0,3,1
43,4,0,1,0,13.87,0,0,1,23,5,2.96,2,-1,0,3,1
44,1,2,0,0,3.43,1,1,0,18,8,0.19,7,-1,0,3,1
60,5,0,1,0,4.96,1,0,0,15,8,6.55,2,-1,0,3,2
57,5,1,0,0,-0.64,1,0,1,24,5,1.47,1,-1,0,3,1
49,1,1,1,0,0.0,0,0,0,14,1,1.89,4,-1,0,3,1
34,1,2,1,0,1.86,0,0,0,2,3,3.42,1,-1,0,3,1
27,8,1,1,0,1.19,1,0,0,16,5,7.81,2,-1,0,3,2
38,4,2,2,0,73.03,1,0,0,20,0,1.64,6,-1,0,3,1
44,4,1,1,0,7.81,1,0,0,12,1,1.12,5,-1,0,3,1
42,9,2,3,0,21.93,0,0,0,29,5,3.05,2,-1,0,3,1
49,1,1,1,0,0.24,0,1,0,27,1,1.68,3,-1,0,3,1
32,4,1,2,0,23.49,0,0,0,14,1,1.34,5,-1,0,3,1
47,1,1,0,0,4.21,1,1,2,5,6,0.52,1,-1,0,3,1
58,0,1,1,0,4.51,0,0,0,18,1,7.29,5,-1,0,3,1
31,1,1,1,0,13.58,1,0,2,2,6,5.27,1,-1,0,3,1
34,7,2,0,0,6.54,0,0,2,3,6,6.04,14,-1,0,3,1
51,0,1,1,0,9.07,1,0,1,21,5,7.22,3,-1,0,3,1
26,9,1,2,0,0.08,1,1,2,13,8,2.62,2,-1,0,3,1
29,4,1,2,0,81.03,0,0,0,28,8,4.73,3,-1,0,3,2
63,11,1,1,0,3.67,0,0,1,2,11,1.73,1,182,7,0,1
45,7,1,1,0,5.61,1,0,2,29,8,3.4,7,-1,0,3,1
28,1,2,2,0,40.99,0,0,0,23,0,1.16,4,-1,0,3,2
40,4,1,2,0,0.0,0,0,0,11,8,0.41,1,-1,0,3,1
64,3,1,0,0,7.68,0,0,0,14,4,3.71,1,-1,0,3,2
58,5,0,2,0,-15.98,1,0,0,30,5,1.04,7,-1,0,3,1
36,0,2,1,0,1.33,0,0,0,30,4,6.32,3,228,14,1,1
52,1,1,1,0,6.98,0,0,1,30,5,0.38,2,-1,0,3,1
39,9,1,0,0,1.69,1,0,2,27,8,1.33,2,-1,0,3,1
35,4,1,2,0,21.23,1,0,0,21,5,2.49,3,-1,0,3,1
34,4,2,2,0,3.4,1,0,2,3,6,6.33,28,-1,0,3,1
28,8,2,1,0,0.0,0,0,0,5,3,0.15,8,-1,0,3,1
30,4,1,2,0,43.28,0,0,0,30,0,2.62,3,189,11,1,2
72,5,1,0,0,46.57,0,0,1,23,7,2.55,1,91,8,2,2
56,0,0,1,0,33.37,1,0,1,17,9,0.99,3,-1,0,3,1
33,9,1,1,0,-0.74,1,0,0,25,5,1.98,4,-1,0,3,1
43,1,1,3,0,2.45,1,1,0,12,8,1.12,4,369,2,1,1
52,1,1,1,0,-0.17,1,0,2,8,8,0.37,3,-1,0,3,1
34,9,2,1,0,10.76,0,0,0,8,1,0.7,2,-1,0,3,1
25,5,2,1,0,3.66,0,1,0,15,8,1.02,2,364,2,0,1
36,1,1,0,0,3.45,1,0,0,25,5,4.0,2,-1,0,3,1
37,9,2,2,0,1.97,0,0,0,16,9,1.75,1,200,1,2,2
55,1,1,1,0,2.33,1,0,0,5,8,8.13,2,351,3,0,1
38,7,2,0,0,-0.87,1,0,0,13,8,5.31,1,-1,0,3,1
44,0,1,2,0,15.88,1,0,2,3,6,0.84,15,-1,0,3,1
57,4,1,2,0,7.79,1,0,0,7,8,2.82,1,367,1,0,1
40,2,1,2,0,19.53,1,0,2,6,6,1.12,5,-1,0,3,1
30,4,1,2,0,0.24,1,0,0,29,4,2.07,2,-1,0,3,1
55,4,1,0,0,1.13,0,0,0,12,1,3.06,1,457,3,0,2
33,7,2,1,0,32.69,0,1,0,21,9,3.81,1,126,1,0,1
37,9,1,2,1,0.0,1,0,2,14,8,0.93,14,-1,0,3,1
31,6,1,2,0,10.15,0,0,0,8,1,1.12,2,-1,0,3,1
41,6,1,2,0,60.0,1,0,0,18,9,2.65,1,-1,0,3,1
34,4,1,2,0,47.14,1,1,0,11,8,1.23,2,-1,0,3,1
44,1,1,0,0,40.31,1,0,0,7,8,9.83,4,-1,0,3,2
50,4,1,2,0,0.0,0,0,0,30,4,1.99,1,205,1,0,1
25,9,2,2,0,16.93,0,0,0,5,6,0.96,2,-1,0,3,1
33,0,1,1,0,2.2,1,0,2,27,8,3.45,1,-1,0,3,1
53,1,1,1,0,2.08,0,0,2,20,6,3.33,15,-1,0,3,1
28,4,2,2,0,7.25,0,0,0,4,3,1.37,2,-1,0,3,1
31,9,0,1,0,2.02,1,0,0,18,5,1.46,1,-1,0,3,1
56,6,1,3,0,0.0,0,0,0,19,1,1.3,1,-1,0,3,1
38,1,0,1,0,8.89,0,1,2,18,6,3.62,1,-1,0,3,1
48,7,2,1,0,1.33,1,1,0,29,4,4.51,1,197,1,0,1
29,7,2,1,0,0.79,1,0,0,6,8,8.11,1,334,3,1,1
34,4,2,2,0,-3.22,0,0,2,9,8,1.98,1,-1,0,3,1
32,0,2,1,0,39.5,1,0,0,18,8,2.32,1,178,1,2,1
52,0,1,0,0,0.64,0,0,2,20,6,0.09,5,-1,0,3,1
53,1,1,0,0,41.43,0,0,0,15,5,2.0,3,-1,0,3,1
37,0,2,2,0,23.17,1,0,0,20,0,1.14,1,152,2,0,1
57,5,1,2,0,35.71,0,0,2,13,8,7.08,2,-1,0,3,1
47,7,1,1,0,0.24,0,0,0,11,1,2.71,3,-1,0,3,1
31,4,2,2,0,102.15,0,0,0,22,1,1.39,2,-1,0,3,1
41,1,0,1,0,-2.24,1,0,0,2,3,1.08,2,-1,0,3,1
58,5,1,1,0,2.55,0,0,2,28,8,3.62,3,-1,0,3,1
48,4,1,0,0,0.0,1,0,2,5,6,1.07,1,-1,0,3,1
37,9,1,2,0,2.47,0,0,0,20,1,6.25,6,-1,0,3,2
29,10,1,2,0,0.53,0,0,0,4,3,1.28,1,-1,0,3,1
48,3,1,1,0,0.0,0,0,0,28,5,3.3,5,-1,0,3,1
57,5,1,1,0,9.75,0,0,0,16,5,1.66,1,-1,0,3,1
27,1,1,0,0,1.06,1,0,2,30,8,1.5,5,-1,0,3,1
32,9,1,1,0,28.02,0,0,0,20,1,1.57,2,-1,0,3,1
26,0,2,1,0,1.25,0,0,0,6,10,0.63,1,63,7,0,1
33,9,1,1,0,0.03,0,0,0,13,1,2.12,3,-1,0,3,1
56,7,1,1,0,19.89,0,0,0,3,3,3.36,2,281,2,0,2
68,5,1,0,0,17.59,0,0,1,8,0,1.85,1,-1,0,3,1
30,9,2,1,0,11.12,0,0,0,14,5,1.33,3,-1,0,3,1
34,9,2,2,0,0.02,1,0,2,13,8,0.6,2,-1,0,3,1
20,8,2,1,0,0.29,0,0,0,14,11,0.85,2,-1,0,3,1
40,4,1,0,0,12.31,1,1,2,15,8,1.84,2,-1,0,3,1
36,1,2,1,0,0.5,0,0,1,2,3,0.38,1,-1,0,3,1
38,2,2,0,0,1.54,1,0,0,11,8,1.97,1,-1,0,3,1
51,1,1,1,0,3.97,1,0,0,20,1,2.93,2,-1,0,3,1
29,1,1,0,0,6.08,1,0,2,9,8,1.84,2,-1,0,3,1
40,3,1,1,0,46.1,0,0,0,14,1,1.54,2,-1,0,3,1
47,1,1,1,0,18.75,1,0,0,14,5,1.57,3,-1,0,3,1
56,7,1,1,0,4.73,1,0,2,6,8,4.16,1,-1,0,3,1
41,1,2,0,0,1.56,1,0,2,9,8,0.47,5,-1,0,3,1
51,4,1,2,0,24.3,0,0,0,4,1,2.66,2,-1,0,3,1
33,9,0,1,0,5.57,1,0,0,20,9,0.89,1,91,1,0,1
43,4,0,2,0,4.43,1,0,2,9,8,2.19,1,-1,0,3,1
25,6,2,2,0,4.53,1,0,0,17,5,1.34,1,-1,0,3,1
34,0,1,1,0,-2.97,1,0,0,15,8,0.92,4,353,3,0,1
50,0,0,1,0,7.97,1,0,1,21,9,2.05,3,119,8,0,1
33,7,1,1,0,9.3,0,1,0,24,5,1.49,2,-1,0,3,1
59,9,1,1,0,-2.47,1,0,2,26,8,1.31,1,-1,0,3,1
37,6,1,2,0,16.24,1,0,0,20,9,5.59,2,-1,0,3,1
55,4,1,2,0,135.78,0,0,0,29,10,2.47,2,-1,0,3,1
27,1,2,1,0,0.36,0,1,0,29,5,1.14,4,-1,0,3,1
29,4,2,2,0,5.73,1,1,2,16,6,1.9,4,-1,0,3,1
39,1,1,1,0,15.08,0,0,0,23,5,2.81,1,-1,0,3,1
40,3,1,1,0,1.63,0,0,0,13,1,1.58,7,-1,0,3,1
25,9,2,1,0,-0.55,1,1,0,7,5,2.42,1,-1,0,3,1
40,1,1,3,0,4.86,1,0,2,20,8,0.97,8,-1,0,3,1
37,4,1,2,0,3.87,0,0,0,26,5,1.28,2,419,1,0,1
32,9,1,3,0,1.96,1,0,2,20,8,1.96,6,-1,0,3,1
23,9,2,1,0,45.45,0,0,0,3,6,2.0,1,-1,0,3,1
47,0,1,1,0,0.26,0,1,0,18,5,0.71,3,-1,0,3,1
34,4,1,1,1,8.79,1,0,0,17,0,7.12,1,344,1,0,2
35,1,2,1,0,5.07,0,0,2,17,6,0.43,6,-1,0,3,1
33,1,1,1,0,1.01,1,0,0,15,8,2.35,2,361,4,0,1
61,4,2,2,0,0.02,0,0,0,12,1,1.31,1,114,3,0,2
34,9,2,2,0,5.86,1,0,0,3,3,0.43,5,263,2,0,1
31,1,1,0,0,21.98,0,0,0,21,9,4.23,2,172,2,0,1
56,5,1,1,0,3.93,0,1,0,17,2,1.03,1,206,1,0,1
44,10,1,0,0,0.51,0,0,0,30,5,2.89,4,-1,0,3,1
22,1,1,1,0,-2.95,1,0,2,26,6,1.5,2,-1,0,3,1
35,4,2,2,0,29.88,1,0,0,25,8,1.79,1,-1,0,3,1
45,4,1,1,0,6.25,0,0,2,20,6,0.13,3,-1,0,3,1
44,4,1,3,0,2.82,0,0,0,9,7,7.0,2,154,3,2,2
22,8,2,2,0,11.61,0,1,0,16,6,1.19,1,-1,0,3,1
50,9,1,2,0,1.99,1,1,2,26,8,0.79,1,-1,0,3,1
45,9,1,1,0,1.15,1,0,0,6,8,1.08,1,-1,0,3,1
40,1,1,1,0,67.67,1,0,0,20,9,0.97,2,-1,0,3,1
42,3,2,1,0,5.78,0,0,1,28,4,0.44,1,-1,0,3,1
56,5,1,0,0,3.34,0,0,0,6,1,1.28,2,-1,0,3,1
52,2,1,2,0,6.18,1,1,2,14,8,1.66,2,-1,0,3,1
38,4,1,2,0,5.69,1,0,0,6,3,1.05,2,252,1,0,1
53,7,1,3,0,0.18,0,0,2,5,8,5.03,2,-1,0,3,1
36,0,1,1,0,1.1,1,0,1,4,3,1.85,1,-1,0,3,1
46,4,0,2,0,-1.3,1,0,0,24,7,1.44,2,-1,0,3,2
47,1,1,0,0,6.83,1,0,0,15,5,1.06,12,-1,0,3,1
30,1,1,0,0,2.01,1,0,0,31,1,2.19,1,157,12,0,2
49,1,1,1,0,0.0,0,0,0,29,1,0.66,17,-1,0,3,1
45,1,2,0,0,8.47,0,0,0,31,5,2.94,3,-1,0,3,1
38,6,2,2,0,57.74,1,0,0,15,8,4.06,4,359,5,1,2
38,9,1,1,0,67.28,0,0,0,25,9,2.32,1,96,4,2,2
37,6,1,2,0,8.04,1,0,0,19,9,0.94,1,170,1,1,1
59,5,1,0,0,16.34,1,1,0,5,1,8.36,1,-1,0,3,2
56,4,1,2,0,3.82,0,0,2,27,6,2.44,2,-1,0,3,1
33,7,0,1,0,15.29,1,0,1,18,9,0.41,1,-1,0,3,1
30,8,2,0,0,15.27,0,0,1,22,0,0.94,7,-1,0,3,1
46,9,1,1,0,34.34,0,1,0,8,6,1.48,2,101,1,2,2
35,1,0,0,0,0.0,0,0,2,12,6,2.0,1,-1,0,3,1
41,7,1,1,0,-1.4,0,1,2,6,6,1.9,1,-1,0,3,1
56,5,1,1,0,14.54,0,0,1,30,4,4.79,1,-1,0,3,1
52,4,1,1,0,48.73,0,0,1,6,3,3.81,6,213,9,0,1
46,4,1,2,0,-0.03,0,0,0,25,1,7.28,4,-1,0,3,1
54,4,1,2,0,11.97,1,1,0,31,5,0.11,5,-1,0,3,1
50,9,1,1,0,24.06,1,0,1,14,5,1.97,5,-1,0,3,1
39,4,1,2,0,0.0,1,1,0,17,5,3.01,1,-1,0,3,1
45,1,1,1,0,-3.02,1,0,2,27,8,0.78,1,-1,0,3,1
52,0,0,1,0,11.35,1,0,0,14,8,2.48,1,-1,0,3,1
38,1,1,0,0,16.3,1,0,0,17,6,1.01,3,94,19,1,1
31,7,2,1,0,4.81,1,0,0,20,9,1.06,2,183,2,0,1
51,4,1,2,0,159.04,0,0,0,7,1,5.04,4,-1,0,3,1
31,0,2,2,0,0.05,0,1,0,2,3,0.75,1,206,1,0,1
32,1,2,1,0,2.01,1,0,0,4,3,0.71,3,-1,0,3,1
25,11,2,1,0,0.03,0,0,0,7,5,1.36,1,-1,0,3,1
31,1,1,1,0,17.87,1,0,2,20,8,2.01,4,-1,0,3,1
31,1,2,0,0,9.85,1,0,2,12,8,1.78,2,-1,0,3,1
27,9,2,1,0,0.01,1,0,2,2,6,2.61,8,-1,0,3,1
41,4,1,2,0,0.0,0,1,2,16,8,3.3,4,-1,0,3,1
53,6,1,2,0,20.13,0,0,0,19,1,2.68,14,-1,0,3,1
37,9,1,3,0,1.89,0,0,0,16,6,1.62,2,-1,0,3,2
36,6,2,1,0,0.15,0,0,0,18,9,1.86,2,-1,0,3,1
45,1,1,1,0,0.52,1,0,0,9,3,1.22,3,-1,0,3,1
40,0,0,1,0,-1.05,1,0,2,30,8,3.85,2,-1,0,3,1
35,1,2,1,0,0.0,1,0,2,3,6,1.13,3,-1,0,3,1
35,1,1,1,0,0.63,1,0,0,9,0,1.39,1,-1,0,3,1
34,4,2,3,0,15.34,1,0,0,16,0,1.56,1,147,7,1,1
35,10,2,1,0,0.0,0,0,0,30,5,7.4,3,-1,0,3,1
37,10,1,1,0,0.86,0,0,0,29,4,14.24,1,-1,0,3,1
32,4,2,2,0,6.43,0,0,0,22,10,2.87,1,-1,0,3,1
35,9,1,1,0,55.35,0,0,0,26,1,0.0,15,-1,0,3,1
30,9,2,2,0,8.49,0,0,0,28,1,0.81,4,-1,0,3,1
32,4,1,2,0,26.67,1,0,0,4,11,1.71,2,186,2,0,1
34,10,0,1,0,3.54,1,0,2,9,8,3.08,1,-1,0,3,1
39,4,0,2,0,3.73,0,0,0,26,1,1.48,4,-1,0,3,1
34,9,0,1,0,2.59,0,0,0,11,1,3.16,2,-1,0,3,1
44,1,1,1,0,4.76,1,0,2,13,8,4.73,1,-1,0,3,1
49,1,1,0,0,41.4,0,0,0,7,5,2.05,4,-1,0,3,1
57,7,0,1,0,46.64,0,0,0,21,9,0.22,4,114,1,0,1
29,1,1,0,0,7.15,1,0,2,27,8,1.7,1,-1,0,3,1
51,0,1,1,0,9.24,1,0,2,16,6,2.15,3,-1,0,3,1
37,1,1,3,0,6.22,1,0,0,11,8,1.75,1,-1,0,3,1
54,9,1,1,0,4.79,0,0,0,12,1,2.22,3,-1,0,3,1
49,4,1,3,0,0.0,0,0,0,19,9,0.99,2,-1,0,3,1
34,4,1,2,0,53.34,0,0,0,7,1,3.85,4,-1,0,3,1
39,1,2,0,0,2.67,0,0,0,18,9,3.22,1,-1,0,3,1
54,2,1,2,0,3.45,0,0,0,14,1,1.83,6,-1,0,3,1
44,7,1,1,0,9.83,0,0,0,28,4,1.23,1,-1,0,3,1
35,7,1,1,0,2.4,1,1,0,11,8,1.61,2,-1,0,3,1
31,4,1,2,0,1.56,0,0,0,13,1,6.57,7,-1,0,3,2
36,9,2,2,0,46.44,0,0,0,26,1,0.29,12,-1,0,3,1
54,7,1,2,0,0.0,0,0,0,28,1,2.82,2,-1,0,3,1
45,10,1,1,0,7.36,0,0,2,20,6,0.13,2,-1,0,3,1
31,4,2,2,0,0.44,0,0,2,28,8,0.95,2,-1,0,3,1
42,9,1,1,0,47.91,1,0,2,30,8,0.88,2,-1,0,3,1
35,0,1,1,0,2.87,1,0,0,2,3,1.15,3,245,8,0,1
42,1,1,1,0,4.29,1,0,0,18,8,1.1,1,370,1,0,1
24,1,2,1,0,18.57,1,0,0,6,8,4.73,4,-1,0,3,1
47,4,0,2,0,103.99,1,0,2,15,8,0.59,2,-1,0,3,1
28,9,2,1,0,9.09,0,1,0,7,5,5.32,1,-1,0,3,2
44,9,1,1,0,3.66,0,1,0,18,1,2.12,12,-1,0,3,1
31,4,2,2,0,31.42,1,0,0,18,5,1.64,1,-1,0,3,1
62,5,1,1,0,8.16,0,0,0,1,11,0.28,2,-1,0,3,1
47,1,1,1,0,79.85,1,0,2,29,8,3.47,1,-1,0,3,1
58,6,1,2,0,5.84,1,0,0,14,1,1.24,3,-1,0,3,1
31,7,2,1,0,10.15,0,0,0,29,4,1.0,1,-1,0,3,1
48,1,1,1,0,50.78,1,0,1,8,8,1.39,1,-1,0,3,1
33,9,2,1,0,6.71,0,0,0,8,1,0.45,2,-1,0,3,1
37,6,2,2,0,11.16,0,0,2,17,6,1.84,1,-1,0,3,1
37,1,1,3,0,6.03,1,0,2,23,8,7.73,2,-1,0,3,1
43,4,1,2,0,0.09,1,0,1,8,8,1.42,3,358,3,0,1
38,9,0,1,0,2.73,1,0,2,20,8,3.14,2,-1,0,3,1
39,3,1,0,0,-1.06,1,1,0,11,8,11.14,2,-1,0,3,1
56,1,1,0,0,4.09,1,0,1,7,5,1.76,6,-1,0,3,1
51,6,1,1,0,49.2,0,0,1,2,6,3.92,2,-1,0,3,1
60,1,1,0,0,0.11,0,0,1,26,1,0.15,10,-1,0,3,1
27,8,2,2,0,0.39,0,0,0,17,8,3.79,1,258,10,1,2
39,9,1,1,0,6.94,1,0,0,23,5,4.13,5,-1,0,3,1
32,7,1,1,0,0.21,0,0,2,6,6,1.44,15,-1,0,3,1
27,4,2,2,0,3.9,0,0,0,28,10,1.9,1,82,1,2,1
47,0,1,1,0,12.1,0,0,0,26,10,6.04,1,91,4,0,2
49,7,2,1,0,4.59,1,0,2,19,8,0.58,10,-1,0,3,1
53,0,2,1,0,19.58,0,0,1,23,0,1.64,4,-1,0,3,1
40,9,1,1,0,85.36,1,1,0,14,8,4.87,2,-1,0,3,1
24,1,2,1,0,98.83,0,0,0,8,5,2.1,5,-1,0,3,2
30,6,1,2,0,1.63,1,0,0,18,8,1.49,1,362,8,1,1
45,4,1,3,0,90.51,1,0,2,19,8,1.24,63,-1,0,3,1
62,3,1,1,0,0.02,0,0,0,3,9,3.22,1,-1,0,3,2
31,0,0,1,0,18.9,1,0,0,21,5,5.88,1,-1,0,3,1
62,6,1,2,0,36.85,0,0,0,3,3,1.81,3,-1,0,3,1
34,4,2,2,0,4.36,0,0,0,26,1,3.12,2,-1,0,3,1
45,4,1,2,0,6.55,0,0,2,20,6,6.93,3,-1,0,3,2
31,9,2,1,0,10.14,1,0,0,23,5,1.58,4,-1,0,3,1
46,4,0,2,0,0.25,0,0,2,17,6,5.64,2,-1,0,3,1
34,1,1,1,0,20.76,1,0,0,20,0,2.57,1,-1,0,3,1
50,1,1,1,0,8.87,0,0,2,16,6,2.87,1,-1,0,3,1
74,5,0,1,0,40.79,0,0,0,19,10,3.43,3,-1,0,3,2
28,7,2,1,0,1.59,1,0,1,12,8,3.45,2,-1,0,3,1
31,0,1,1,0,-1.7,1,1,0,17,0,2.52,1,326,1,0,1
58,5,1,1,0,5.02,1,0,0,12,8,1.97,2,370,3,0,1
65,5,0,0,0,18.4,0,0,0,1,11,1.91,2,92,7,0,1
30,1,2,0,0,4.13,1,0,0,15,8,1.48,1,345,4,1,1
43,1,1,1,0,79.73,1,0,0,14,8,1.0,2,-1,0,3,1
43,9,1,1,0,49.45,1,0,0,3,11,2.19,3,185,2,2,2
54,9,1,0,0,-18.18,1,0,0,17,5,2.71,2,-1,0,3,1
49,6,1,2,0,21.43,0,0,0,20,9,2.26,3,-1,0,3,1
29,1,1,1,0,-1.14,1,0,0,15,8,1.32,2,359,2,0,1
56,4,1,2,0,8.3,1,1,2,6,8,12.01,1,-1,0,3,2
26,7,1,1,0,1.16,0,0,0,5,3,3.19,2,-1,0,3,1
55,2,1,1,0,6.53,1,0,0,17,9,1.93,2,186,1,0,1
34,5,1,1,0,1.65,0,0,0,12,8,0.99,1,370,1,0,1
65,5,1,3,0,8.2,0,0,0,7,5,4.32,1,-1,0,3,1
39,4,2,1,0,0.36,0,0,0,29,1,0.7,2,-1,0,3,1
46,0,2,1,0,16.93,1,0,0,20,10,4.27,1,-1,0,3,2
56,5,1,2,0,2.81,0,0,0,3,7,0.96,2,-1,0,3,2
38,1,0,1,0,6.14,1,0,0,16,0,3.14,2,331,1,0,1
39,1,1,0,0,0.0,1,0,0,11,5,1.17,2,-1,0,3,1
32,10,1,1,0,0.93,1,0,2,20,8,2.03,2,-1,0,3,1
43,7,2,3,0,0.0,0,0,2,5,8,0.73,1,-1,0,3,1
58,6,1,1,0,283.18,1,0,0,14,8,1.68,2,-1,0,3,1
50,9,1,1,0,3.89,1,0,2,8,8,1.1,1,-1,0,3,1
47,3,1,0,0,0.2,0,1,0,28,5,5.64,5,-1,0,3,1
35,4,1,2,0,2.31,0,0,0,26,1,1.3,6,-1,0,3,1
46,1,1,1,0,36.96,1,0,2,2,6,1.61,2,-1,0,3,1
30,7,0,1,0,3.41,1,0,0,13,8,0.54,1,174,1,2,1
54,1,1,0,0,-2.39,1,0,2,23,8,0.29,1,-1,0,3,1
36,6,1,2,0,6.82,1,0,2,20,6,0.13,10,-1,0,3,1
39,0,1,1,0,13.88,1,0,0,15,5,1.5,5,-1,0,3,1
32,9,1,3,0,18.79,0,0,2,19,8,1.15,1,-1,0,3,1
46,1,1,1,0,62.15,0,0,2,16,6,1.55,1,-1,0,3,1
39,2,1,1,0,55.62,0,0,0,20,9,1.49,3,-1,0,3,1
56,4,1,2,0,8.56,1,1,0,4,3,0.7,4,7,7,1,1
51,9,0,1,0,1.07,0,0,2,19,6,5.93,1,-1,0,3,1
55,9,1,1,0,9.56,1,1,0,5,3,1.16,4,-1,0,3,1
37,1,1,1,0,6.72,1,0,2,29,8,1.29,2,-1,0,3,1
28,9,1,2,0,2.03,0,1,0,29,4,1.88,3,-1,0,3,1
51,4,0,2,0,1.19,0,0,2,5,6,1.12,2,-1,0,3,1
34,0,2,1,0,1.51,1,0,0,12,8,5.9,1,370,1,1,2
38,4,2,2,0,18.19,0,0,0,5,3,1.01,3,-1,0,3,1
26,6,2,2,0,2.11,0,0,0,29,4,1.68,3,-1,0,3,1
31,1,1,1,0,7.14,1,0,2,23,8,2.54,1,-1,0,3,1
74,5,1,3,0,78.19,0,0,0,6,1,1.65,3,-1,0,3,1
34,9,1,1,0,-0.74,1,0,0,7,5,0.98,2,347,4,0,1
34,9,1,2,0,111.26,0,0,0,25,1,1.4,4,-1,0,3,1
51,9,1,1,0,0.0,0,1,0,23,5,0.68,3,-1,0,3,1
52,9,1,1,0,2.91,0,0,2,8,8,1.43,1,-1,0,3,1
39,4,1,2,0,0.03,1,0,0,7,8,11.45,1,170,1,0,1
30,1,1,0,0,2.62,1,0,0,20,0,0.15,4,343,3,1,1
38,4,1,2,0,1.65,1,0,0,17,0,5.26,1,260,2,1,2
54,4,1,2,0,13.31,0,0,0,25,1,2.4,9,-1,0,3,1
30,9,2,2,0,0.03,1,0,2,7,8,1.74,1,-1,0,3,1
58,6,1,2,0,-3.64,1,0,2,5,8,3.55,1,-1,0,3,1
35,9,1,1,0,6.88,0,0,0,14,1,1.37,2,-1,0,3,1
42,4,0,2,0,8.26,0,0,1,29,5,3.16,3,-1,0,3,1
31,0,1,1,0,30.52,1,1,0,20,9,1.15,2,177,2,0,1
37,1,1,0,0,39.77,1,0,0,17,0,2.64,1,-1,0,3,1
44,0,0,1,0,48.42,0,0,0,21,5,3.22,4,-1,0,3,1
