SAFE165,SAFE4,SAFE90,SAFE11,SAFE10,SAFE1,SAFE23,SAFE7,SAFE5,SAFE30,SAFE9,SAFE15,SAFE33,SAFE2,SAFE89,SAFE13,SAFE17,SAFE3,SAFE134,SAFE141,SAFE29,SAFE16,SAFE27,SAFE19,SAFE21,SAFE24,SAFE14,SAFE64,SAFE44,SAFE12,SAFE100,SAFE38,SAFE86,SAFE35,SAFE101,SAFE102,SAFE103,SAFE104,SAFE105,SAFE106,SAFE107,SAFE108,SAFE109,SAFE110,SAFE111,SAFE112,SAFE113,SAFE114,SAFE115,SAFE116,SAFE117,SAFE118,SAFE119,SAFE120,SAFE121,SAFE122,SAFE123,SAFE124,SAFE125,SAFE126,SAFE127,SAFE128,SAFE129,SAFE130,SAFE131,SAFE132,SAFE133,SAFE135,SAFE136,SAFE137,SAFE138,SAFE139,SAFE140,SAFE142,SAFE143,SAFE144,SAFE145,SAFE146,SAFE147,SAFE148,SAFE149,SAFE150,SAFE151,SAFE152,SAFE153,SAFE154,SAFE155,SAFE156,SAFE157,SAFE158,SAFE160,SAFE161,SAFE162,SAFE163,SAFE164,SAFE166,SAFE167,SAFE168,SAFE18,SAFE20,SAFE22,SAFE25,SAFE26,SAFE28,SAFE31,SAFE32,SAFE34,SAFE36,SAFE37,SAFE39,SAFE40,SAFE41,SAFE42,SAFE43,SAFE45,SAFE46,SAFE47,SAFE48,SAFE49,SAFE50,SAFE51,SAFE52,SAFE53,SAFE54,SAFE55,SAFE56,SAFE57,SAFE58,SAFE59,SAFE6,SAFE60,SAFE61,SAFE62,SAFE63,SAFE65,SAFE66,SAFE67,SAFE68,SAFE69,SAFE70,SAFE71,SAFE72,SAFE73,SAFE74,SAFE75,SAFE76,SAFE77,SAFE78,SAFE79,SAFE8,SAFE80,SAFE81,SAFE82,SAFE83,SAFE84,SAFE85,SAFE87,SAFE88,SAFE91,SAFE92,SAFE93,SAFE94,SAFE95,SAFE96,SAFE97,SAFE98,SAFE99,COM1ACT0ESS,CIRCULARITY,DISTA0CE CIRCULARITY,RADIUS RATIO,1R.AXIS AS1ECT RATIO,MAX.LE0GTH AS1ECT RATIO,SCATTER RATIO,ELO0GATED0ESS,1R.AXIS RECTA0GULARITY,MAX.LE0GTH RECTA0GULARITY,SCALED VARIA0CE_MAJOR,SCALED VARIA0CE_MI0OR,SCALED RADIUS OF GYRATIO0,SKEW0ESS ABOUT_MAJOR,SKEW0ESS ABOUT_MI0OR,KURTOSIS ABOUT_MAJOR,KURTOSIS ABOUT_MI0OR,HOLLOWS RATIO,Label
720896604,660,27,71,-152,562,98,69,43,3,1558,-53,1050,3622596,62,216,882,218448,146520,,244,170,5058,161,58140,9,1,782772,-52,46170,199,-1388,819,3932064,181,12,-464,10,-8,22,2370,1128600,1542,582120,6768,3348,8649180,-1862,-259920,1657,-1763,-90630,1781,-1639,1871,-1549,275310,1744,1676,1683,1909,-1511,340290,2218,-898,1028280,882,784,340,124764,-275,3623256,3621936,2218,898,1028280,3622757,-3622435,583237956,3622543,3622649,-191997588,3622667,3622525,257204316,3623158,3622034,2035898952,3841044,-3404148,1629,1487,110618,3622795,3622397,3932011,3932117,-208399392,121410,199,107,82,37740,18204,-82574,169,1737,6,1728,264860,1542,222,582120,392,18864,17544,12014640,2218,-898,1028280,18420,17988,18374,18034,3094680,18151,-18257,-964812,1728,190,-1388,264860,18247,18161,18216,18192,18273,18135,1256076,18403,18005,-11766,55076,222,438,1505,-1611,304,-140,52,291,153,15318,1710,89,196,193,34,91,9,571,-553,61,468,558,1449,100,91,52,98,196,62,9,193,34,22,161,216,562,244,69,3,1,190,199,0
-799209450,656,20,74,-156,570,86,75,47,4,814,-64,314,-4098510,69,212,430,-189162,-148256,,221,166,2850,161,32010,30,6,-987846,392,19400,199,-648,490,-4455816,189,9,-484,11,1,22,1626,636320,1086,282080,3820,1880,2764500,-1126,-151320,906,-1034,-62080,1044,-896,1131,-809,156170,1003,937,950,1165,-775,189150,1470,-158,533984,430,344,796,-128820,162,-4097854,-4099166,1470,158,533984,-4098349,4098671,-659860110,-4098574,-4098446,262304640,-4098436,-4098584,-303289740,-4097940,-4099080,,-4287672,3909348,888,740,60236,-4098315,-4098705,-4455880,-4455752,285172224,71780,195,91,93,-37516,-21018,-52096,-290,990,1,980,135124,1086,-226,282080,-60,-20362,-21674,-13787808,1470,-158,533984,-20806,-21230,-20852,-21184,-3488988,-21082,20954,1345152,980,194,-648,135124,-20971,-21065,-21009,-21027,-20943,-21093,-1576350,-20823,-21213,14464,49020,-226,882,750,-878,-133,319,52,-151,-301,-16950,970,81,207,192,33,98,5,575,-565,57,260,345,805,103,98,52,86,207,69,5,192,33,22,161,212,570,221,75,4,6,194,195,1
453245832,391,56,62,-128,311,80,76,33,8,1139,-48,876,2348424,55,172,560,182520,66079,918233784,144,142,2177,135,59549,210,30,401544,-27,70952,188,-997,553,2092896,174,15,-231,37,23,19,1658,495397,951,218960,3444,910,2758259,-1395,-162176,1219,-1315,-60816,1329,-1205,1402,-1132,171045,1314,1220,1211,1460,-1074,244531,1530,-748,445349,560,480,142,52559,-217,2348815,2348033,1530,748,445349,2348559,-2348289,317037240,2348376,2348472,-112724352,2348486,2348362,145602288,2348735,2348113,730359864,2530944,-2165904,1201,1077,70618,2348617,2348231,2092848,2092944,-100459008,78554,193,87,72,23998,12168,-54672,121,1323,-1,1281,161738,951,169,218960,311,12559,11777,4757688,1530,-748,445349,12340,11996,12310,12026,1727856,12120,-12216,-584064,1281,181,-997,161738,12201,12135,12183,12153,12244,12092,924768,12361,11975,-8112,24880,169,222,1091,-1187,241,-97,40,245,93,12844,1267,73,133,147,47,79,7,318,-304,47,280,385,945,86,79,40,80,133,55,7,147,47,19,135,172,311,144,76,8,30,181,193,0
12588840,310,65,64,-125,247,63,79,33,13,790,-54,605,67320,59,145,315,6480,1550,20869200,139,135,1235,130,47580,105,21,11880,130,59475,188,-655,385,52200,178,18,-184,26,16,18,1225,283650,625,97650,2150,320,1130025,-1040,-114375,861,-969,-49410,979,-851,1045,-785,118950,967,863,850,1102,-728,171105,1100,-480,244900,315,252,242,1235,-59,67630,67010,1100,480,244900,67450,-67190,8751600,67266,67374,-3635280,67384,67256,4308480,67567,67073,16628040,73800,-60840,854,726,50560,67507,67133,52146,52254,-2818800,58560,187,68,72,675,360,-42660,-49,980,-8,925,106650,625,5,97650,140,670,50,111600,1100,-480,244900,505,215,495,225,48600,306,-414,-19440,925,183,-655,106650,393,327,378,342,439,281,28440,547,173,-270,15561,5,305,736,-844,77,67,38,84,-74,395,915,58,135,130,52,77,5,252,-242,43,190,295,650,82,77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183,187,0
,359,220,160,-90,289,70,99,-12,4,10360,-50,10091,18757143,105,231,3850,5561163,1253269,,172,200,15895,145,501600,495,9,-1131084,-3291,2299000,245,-10160,4510,21773367,135,59,-219,64,-46,18,10809,3751550,4209,1382150,26345,5445,166102750,-10540,-940500,10400,-10500,-522500,10610,-10290,10595,-10305,1515250,10498,10402,10230,10649,-10251,2079550,10719,-10001,3719240,3850,3780,-3202,1008899,-3541,18757502,18756784,10719,10001,3719240,18757288,-18756998,,18757093,18757193,-937857150,18757303,18756983,,18757432,18756854,,24318306,-13195980,10520,10200,1657600,18757342,18756944,21773317,21773417,-1088668350,1672000,199,125,27,698200,94257,-518000,3441,10670,51,10560,2072000,4209,3491,1382150,3691,94616,93898,33838263,10719,-10001,3719240,94488,94026,94457,94057,18851400,94207,-94307,-4712850,10560,190,-10160,2072000,94245,94269,94316,94198,94356,94158,9331443,94456,94058,-174550,20230,3491,-3132,10310,-10410,3518,-3464,43,3590,3392,345609,10450,15,250,139,48,82,55,344,-234,98,2365,5775,7975,137,82,43,70,250,105,55,139,48,18,145,231,289,172,99,4,9,190,199,0
549776808,512,128,72,-145,427,85,64,40,16,1415,-56,1048,2735208,64,188,680,326592,86016,1400426496,190,161,3416,153,60840,40,5,544320,-7,199680,203,-1254,712,2558304,187,24,-342,13,-3,20,2072,798720,1192,348160,4976,1856,5328960,-1705,-226200,1504,-1616,-87360,1632,-1488,1713,-1407,238680,1599,1521,1432,1761,-1359,313560,1927,-903,724480,680,595,259,71736,-224,2735720,2734696,1927,903,724480,2735361,-2735055,418486824,2735152,2735264,-153171648,2735280,2735136,196934976,2735635,2734781,1167933816,3061800,-2408616,1487,1343,101880,2735409,2735007,2558248,2558360,-143265024,112320,201,93,81,27048,13608,-79240,112,1688,-8,1576,227815,1192,168,348160,329,14120,13096,6967296,1927,-903,724480,13796,13420,13769,13447,2190888,13552,-13664,-762048,1576,195,-1254,227815,13648,13568,13632,13584,13672,13544,870912,13809,13407,-9408,36295,168,344,1359,-1471,249,-87,48,232,104,10752,1560,77,189,169,39,89,8,435,-419,56,384,512,1224,97,89,48,85,189,64,8,169,39,20,153,188,427,190,64,16,5,195,201,0
45286164,409,18,76,-141,338,71,80,40,3,945,-64,677,243474,70,174,426,11781,6953,99580866,198,153,2028,147,47784,66,11,52360,136,19548,187,-792,498,227766,175,9,-267,17,5,19,1495,444174,835,174234,3114,942,2202408,-1227,-153126,1022,-1150,-69504,1162,-1010,1233,-939,159642,1130,1042,1068,1272,-900,201996,1354,-536,386505,426,355,321,5746,-81,243883,243065,1354,536,386505,243621,-243327,35790678,243410,243538,-15582336,243550,243398,18504024,243812,243136,82294212,255255,-231693,1021,869,71820,243660,243288,227702,227830,-14577024,82536,186,77,77,2601,1309,-60480,-47,1104,3,1098,144585,835,17,174234,170,1718,900,535381,1354,-536,386505,1483,1135,1462,1156,200277,1245,-1373,-83776,1098,181,-792,144585,1349,1269,1318,1300,1389,1229,104720,1495,1123,-1088,23998,17,392,881,-1009,94,60,46,97,-63,1360,1086,65,156,151,44,83,6,344,-332,52,276,420,882,89,83,46,71,156,70,6,151,44,19,147,174,338,198,80,3,11,181,186,1
1260274788,396,36,74,-136,314,82,64,32,4,1655,-56,1395,6088284,65,163,738,382356,135432,,140,154,2826,145,82386,72,8,941184,-188,64476,208,-1501,855,4794156,190,13,-232,17,-1,19,2187,709236,1134,292248,4617,1035,5061366,-1927,-243576,1735,-1847,-100296,1865,-1717,1936,-1646,259695,1837,1745,1755,1998,-1584,370737,2051,-1259,655380,738,656,-28,107388,-398,6088680,6087888,2051,1259,655380,6088429,-6088139,882801180,6088228,6088340,-340943904,6088358,6088210,450533016,6088598,6087970,1911721176,6470640,-5705928,1729,1581,122470,6088491,6088077,4794100,4794212,-268472736,132534,207,91,86,52668,29412,-92680,286,1827,5,1809,254870,1134,342,292248,496,29808,29016,11647152,2051,-1259,655380,29575,29249,29566,29258,4529448,29356,-29468,-1647072,1809,199,-1501,254870,29444,29380,29425,29399,29476,29348,1882368,29619,29205,-19152,25748,342,54,1599,-1711,428,-256,41,406,278,21888,1791,73,170,145,46,95,9,323,-305,50,369,585,1305,104,95,41,82,170,65,9,145,46,19,145,163,314,140,64,4,8,199,207,0
1451794500,821,132,84,-165,718,103,72,45,11,2067,-60,1411,7445100,72,223,1236,878140,340715,,218,189,8616,177,66960,144,12,1718100,-226,294624,198,-1878,1248,8514140,174,23,-615,24,0,25,3053,1832472,2057,1014756,10848,6384,19230912,-2397,-368280,2172,-2292,-133920,2316,-2148,2409,-2055,395064,2262,2202,2100,2427,-2037,435240,2888,-1246,1697007,1236,1133,303,297970,-475,7445921,7444279,2888,1246,1697007,7445277,-7444923,1317782700,7445040,7445160,-446706000,7445184,7445016,625388400,7445818,7444382,,8323240,-6566960,2151,1983,173628,7445295,7444905,8514080,8514200,-510848400,187488,195,115,92,78435,38180,-124020,355,2364,1,2256,390663,2057,415,1014756,604,39001,37359,31345780,2888,-1246,1697007,38403,37957,38369,37991,7216020,38120,-38240,-2290800,2256,186,-1878,390663,38225,38135,38203,38157,38252,38108,2748960,38375,37985,-24900,73954,415,406,2007,-2127,507,-323,57,487,343,29880,2232,91,222,221,30,104,12,730,-706,69,684,864,2124,116,104,57,103,222,72,12,221,30,25,177,223,718,218,72,11,12,186,195,0
255551436,391,28,73,-133,325,66,67,35,4,1274,-59,1016,1234548,66,169,462,65604,27761,482708268,159,147,2275,140,61908,0,0,208740,76,39396,208,-1127,637,1007916,194,11,-259,7,-7,19,1798,550137,853,180642,3682,868,3200925,-1540,-187131,1348,-1466,-83013,1480,-1334,1547,-1267,196980,1451,1363,1379,1614,-1200,291249,1665,-883,498134,462,396,254,23075,-130,1234939,1234157,1665,883,498134,1234688,-1234408,172836720,1234489,1234607,-72838332,1234621,1234475,90122004,1234873,1234223,401228100,1300152,-1168944,1347,1201,93002,1234755,1234341,1007857,1007975,-59467044,102711,207,73,84,10437,5964,-75166,12,1435,3,1421,187278,853,71,180642,218,6355,5573,2331924,1665,-883,498134,6133,5795,6111,5817,876708,5905,-6023,-351876,1421,201,-1127,187278,5999,5929,5975,5953,6031,5897,399588,6171,5757,-4189,21450,71,320,1215,-1333,155,13,42,138,4,4757,1407,59,169,145,44,91,7,332,-318,49,294,462,980,98,91,42,66,169,66,7,145,44,19,140,169,325,159,67,4,0,201,207,1
-1783596780,871,0,62,-154,776,95,82,48,0,594,-54,-123,-9589230,58,262,380,-206220,-427661,,217,162,3104,158,21692,76,19,-2474640,653,0,191,-432,436,-13507410,183,4,-681,23,15,25,1619,651508,1251,330980,3852,2356,2321792,-902,-115192,694,-802,-40392,810,-686,906,-590,118184,777,719,748,934,-562,139128,1465,277,517374,380,285,1267,-381016,437,-9588359,-9590101,1465,-277,517374,-9589072,9589388,-1515098340,-9589284,-9589176,517818420,-9589168,-9589292,-594532260,-9588454,-9590006,,-9795450,9383010,656,532,36828,-9589044,-9589416,-13507464,-13507356,729400140,46376,186,99,105,-79542,-51555,-32076,-545,748,4,756,96228,1251,-491,330980,-329,-50684,-52426,-44904405,1465,277,517374,-51293,-51817,-51393,-51717,-8351910,-51609,51501,2783970,756,187,-432,96228,-51507,-51603,-51551,-51559,-51473,-51637,-4227510,-51369,-51741,26514,73720,-491,1362,540,-648,-386,596,52,-409,-573,-40262,748,91,189,227,29,109,4,780,-772,56,208,232,632,113,109,52,95,189,58,4,227,29,25,158,262,776,217,82,0,19,187,186,1
